accession_number	scientific_name	common_name	building	life_form	media_count
2018-1231A	Quercus palustris 'Pringreen' GREEN PILLAR	Pin Oak cultivar	NMNH	Deciduous tree	3
2018-1225A	Quercus palustris 'Pringreen' GREEN PILLAR	Pin Oak cultivar	NMNH	Deciduous tree	4
2018-1227A	Quercus palustris 'Pringreen' GREEN PILLAR	Pin Oak cultivar	NMNH	Deciduous tree	3
2018-1228A	Quercus palustris 'Pringreen' GREEN PILLAR	Pin Oak cultivar	NMNH	Deciduous tree	4
2018-1230A	Quercus palustris 'Pringreen' GREEN PILLAR	Pin Oak cultivar	NMNH	Deciduous tree	3
2018-1229A	Quercus palustris 'Pringreen' GREEN PILLAR	Pin Oak cultivar	NMNH	Deciduous tree	3
2018-1233A	Quercus palustris 'Pringreen' GREEN PILLAR	Pin Oak cultivar	NMNH	Deciduous tree	3
2018-1226A	Quercus palustris 'Pringreen' GREEN PILLAR	Pin Oak cultivar	NMNH	Deciduous tree	3
2018-1232A	Quercus palustris 'Pringreen' GREEN PILLAR	Pin Oak cultivar	NMNH	Deciduous tree	3
2019-0269A	Quercus lyrata 'QLFTB' HIGHBEAM	Overcup oak cultivar		Deciduous tree	2
2011-1039A	Rhus typhina	Staghorn Sumac	NMNH	Deciduous shrub/sub-shrub	5
2011-2753A	Rhus typhina	Staghorn Sumac		Deciduous shrub/sub-shrub	1
2011-2790A	Rhus typhina	Staghorn Sumac		Deciduous shrub/sub-shrub	1
2011-2904A	Robinia pseudoacacia	Black Locust,False Acacia,Yellow Locust		Deciduous tree	1
2011-2946A	Robinia pseudoacacia	Black Locust,False Acacia,Yellow Locust		Deciduous tree	1
2011-2911A	Robinia pseudoacacia	Black Locust,False Acacia,Yellow Locust		Deciduous tree	1
2011-2920A	Robinia pseudoacacia	Black Locust,False Acacia,Yellow Locust		Deciduous tree	1
2011-2908A	Robinia pseudoacacia	Black Locust,False Acacia,Yellow Locust		Deciduous tree	1
2011-3030A	Robinia pseudoacacia	Black Locust,False Acacia,Yellow Locust		Deciduous tree	1
2011-3031A	Robinia pseudoacacia	Black Locust,False Acacia,Yellow Locust		Deciduous tree	1
2011-3026A	Robinia pseudoacacia	Black Locust,False Acacia,Yellow Locust		Deciduous tree	1
2019-0266A	Quercus texana 'QNFTA' HIGHPOINT	Texas Red Oak cultivar		Deciduous tree	2
2011-0559A	Lagerstroemia indica	Crepe Flower,Crape Myrtle,Crepe Myrtle		Deciduous tree	14
2011-0720A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NMAH	Deciduous tree	3
2011-0721A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NMAH	Deciduous tree	4
2011-0718A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NMAH	Deciduous tree	3
2011-0734A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NMAH	Deciduous tree	3
2011-0741A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NMAH	Deciduous tree	3
2011-0736A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NMAH	Deciduous tree	3
2011-0738A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NMAH	Deciduous tree	5
2011-0742A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NMAH	Deciduous tree	3
2011-0739A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NMAH	Deciduous tree	3
2011-0722A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NMAH	Deciduous tree	3
2011-0737A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NMAH	Deciduous tree	3
2011-1297A	Lagerstroemia indica 'Natchez'	Natchez Crape Myrtle	NASM	Deciduous tree	3
2011-1298A	Lagerstroemia indica 'Natchez'	Natchez Crape Myrtle	NASM	Deciduous tree	3
2013-0649A	Lagerstroemia indica	Crepe Flower,Crape Myrtle,Crepe Myrtle	NASM	Deciduous tree	2
2017-0444A	Lagerstroemia indica 'Muskogee' × L. fauriei	Crepeflower,Crape Myrtle,Crepe Myrtle	NPG	Deciduous tree	7
2011-0560A	Lagerstroemia indica	Crepe Flower,Crape Myrtle,Crepe Myrtle		Deciduous tree	11
2011-0558A	Lagerstroemia indica	Crepe Flower,Crape Myrtle,Crepe Myrtle		Deciduous tree	17
2011-0719A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NMAH	Deciduous tree	2
2011-0740A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NMAH	Deciduous tree	3
2011-0733A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NMAH	Deciduous tree	3
2011-0716A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NMAH	Deciduous tree	5
2011-1296A	Lagerstroemia indica 'Natchez'	Natchez Crape Myrtle	NASM	Deciduous tree	3
2011-1339A	Lagerstroemia indica 'Natchez'	Natchez Crape Myrtle	NASM	Deciduous tree	2
2011-1341A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NASM	Deciduous tree	2
